id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau
1042,15.005935,14.074093,0.667781,0.000067,1.461251,8,0.685014,0.000146,0.025738
1044,14.618696,14.017115,0.630093,0.000107,1.431513,8,0.650461,0.000228,0.035708
1045,14.053030,14.090626,0.610221,0.000161,1.247200,7,0.617315,0.000352,0.049186
1048,13.145416,14.152251,0.670096,0.000199,1.518408,6,0.693055,0.000250,0.032892
1052,12.173694,14.213028,0.765688,0.000664,1.663240,5,0.785294,0.000519,0.036923
1055,11.578770,14.314780,0.641290,0.001009,1.425470,4,0.656666,0.000540,0.053834
1057,10.185670,14.814613,0.748166,0.027685,1.429997,1,0.791843,0.003115,0.088576
1058,10.000000,15.000000,0.833112,0.077120,1.666225,0,0.796356,0.003891,0.097757
1059,10.436768,14.626091,0.841226,0.019826,1.672709,2,0.846417,0.003016,0.076331
1063,10.000000,15.000000,0.776882,0.067061,1.553763,0,0.791860,0.051893,0.337365
983,30.725821,13.608195,0.526039,0.000003,1.303054,27,0.526101,0.000028,0.019074
1001,30.289776,14.137861,0.611408,0.000004,1.293151,27,0.617013,0.000038,0.016174
1018,20.221006,13.921327,0.698843,0.000020,1.445970,14,0.705730,0.000097,0.019766
1027,18.089329,13.887548,0.684069,0.000025,1.454491,12,0.696241,0.000086,0.019113
1035,17.502743,13.969523,0.737411,0.000041,1.536572,11,0.748435,0.000151,0.021909
1039,16.572308,13.989558,0.707392,0.000055,1.496184,10,0.718316,0.000177,0.025784
1042,15.866836,14.035876,0.672982,0.000048,1.461251,9,0.688969,0.000123,0.023383
1044,15.454275,13.971263,0.636247,0.000077,1.431513,9,0.659311,0.000196,0.032175
1045,14.914724,14.049185,0.612346,0.000113,1.247200,8,0.620356,0.000306,0.045433
1048,13.960569,14.093122,0.679640,0.000123,1.518408,7,0.699072,0.000203,0.029109
1052,12.984975,14.146315,0.775958,0.000324,1.663240,6,0.791004,0.000399,0.031924
1055,12.346055,14.228545,0.650456,0.000415,1.425470,5,0.661477,0.000412,0.046320
1057,10.497081,14.611452,0.775029,0.010991,1.429997,2,0.787393,0.001765,0.067575
1059,10.871984,14.437208,0.844646,0.006769,1.672709,3,0.844638,0.001737,0.058285
1060,10.000000,15.000000,0.798216,0.070794,1.596432,0,0.798891,0.009672,0.151827
1062,10.000000,15.000000,0.674615,0.050567,1.349230,0,0.713616,0.010579,0.197943
1063,10.128116,14.844379,0.781483,0.046480,1.553763,1,0.787558,0.009576,0.155409
